transcript,category
"Bhaiya main Swiggy, location pe pahunch gaya hoon, niche aa jaiye.",DELIVERY
"Main Axis bank se bol raha hoon. Aapka pre-approved loan offer hai.",BANK
"Beta, main Chhotu mama bol raha hoon naye number se. Sab kaise hain?",FAMILY
"Sir, do you want a demat account for free? No AMC charges for 1 year.",TELEMARKETER
"Main hospital billing. Aapka final settlement pending hai, please clear it.",MEDICAL
"Hello, this is the Income Tax helpdesk. Your refund processing is ongoing.",GOVERNMENT
"Main RBI fraud division. Aapka account risk mein hai, ye app install karke scan karo.",SCAM
"Bhaiya main Flipkart, aapka parcel baarish se bacha ke rakha hai.",DELIVERY
"Main PNB bank se bol raha hoon. Aapka KYC update successful hai.",BANK
"Hello, main Vineet bol raha hoon naye number se. Party mein milenge.",FAMILY
"Sir, would you like to buy a term insurance for 1 crore? Low premium.",TELEMARKETER
"Main hospital diet department. Patient ke liye khana kya bhejun?",MEDICAL
"Namaste, main Gram Panchayat se. Aapka housing scheme check kijiye list mein.",GOVERNMENT
"Main cyber crime cell se. Aapke phone se illegal messages gaye hain, fine bhariye abhi.",SCAM
"Bhaiya main Blinkit, address nahi mil raha, landmark bataiye.",DELIVERY
"Main Union Bank se bol raha hoon. Aapka FD renew karna hai?",BANK
"Beta, main Dadaji bol raha hoon naye number se. Phone thik chal raha hai.",FAMILY
"Sir, buy this new real estate project in Noida. Very high returns.",TELEMARKETER
"Main diagnostic center se. Aapka blood test report mail kar diya hai.",MEDICAL
"Hello, this is the Post Office. Your letter is here for collection.",GOVERNMENT
"Main bank agent. Aapka credit card limit badhane ke liye login password do.",SCAM
"Bhaiya main Amazon, aapka order padosi ke gate pe hai.",DELIVERY
"Main Indian Bank se bol raha hoon. Aapka mobile banking register ho gaya hai.",BANK
"Hello, main Sonu bol raha hoon naye number se. Sabko call kar dena.",FAMILY
"Sir, get a personal loan at 9 percent. Instant approval in 5 minutes.",TELEMARKETER
"Main chemist store se. Aapki dawaiyan stock mein aa gayi hain.",MEDICAL
"Namaste, main Jal Vibhag se. Aapka water meter change hona hai.",GOVERNMENT
"Main FedEx officer. Aapka parcel scanning mein fail hua, 5000 do clearance ke liye.",SCAM
"Bhaiya main Zomato, order pick kar liya hai, 15 minute lagega.",DELIVERY
"Main Bank of Baroda se bol raha hoon. Aapka cheque clear ho gaya hai.",BANK
"Hello, main Sameer bol raha hoon naye number se. Office mein milte hain.",FAMILY
"Sir, do you want to switch to our broadband? 200 Mbps speed available.",TELEMARKETER
"Main hospital discharge counter. Patient ke documents le jaiye.",MEDICAL
"Hello, this is the Passport Seva Kendra. Your police verification is done.",GOVERNMENT
"Main bank executive. Aapka account block hai, KYC ke liye card ki photo bhejo.",SCAM
"Bhaiya main Ecom Express, aapka parcel pick up ke liye ready hai?",DELIVERY
"Main Canara bank se bol raha hoon. Aapka auto-debit successful raha.",BANK
"Beta, main Bua bol rahi hoon naye number se. Ghar pe sab thik hain?",FAMILY
"Sir, join our trading course and become a millionaire in 1 month.",TELEMARKETER
"Main pathology lab se. Aapka sample collect karne kab aayein?",MEDICAL
"Namaste, main EPFO se bol raha hoon. Aapka PF claim settle ho gaya hai.",GOVERNMENT
"Main RBI security head. Aapka account hack hone wala hai, turant paise transfer karo safe account mein.",SCAM
"Bhaiya main Myntra, aapka exchange item lene aaya hoon.",DELIVERY
"Main Bank of India se. Aapka statement dispatch ho gaya hai.",BANK
"Hello, main Rahul ka bhai bol raha hoon naye number se.",FAMILY
"Sir, do you need a business loan for your shop? No collateral required.",TELEMARKETER
"Main hospital nurse. Patient ki tabiyat ab thik hai.",MEDICAL
"Hello, this is the Electricity Department. Your connection will be cut due to pending bill.",SCAM
"Namaste, main Nagar Nigam se. Aapka property tax payment received.",GOVERNMENT
"Bhaiya main Swiggy, aapka address search kar raha hoon, gate ke paas hoon.",DELIVERY
"Main SBI bank se. Aapka debit card transaction fail hua hai.",BANK
"Hello, main Jija ji bol raha hoon naye number se. Kaise ho?",FAMILY
"Sir, win a chance to go to Maldives. Just pay 1000 for registration.",TELEMARKETER
"Main lab technician. Aapki report kal subah 10 baje milegi.",MEDICAL
"Namaste, main Passport office se. Aapka passport process ho gaya hai.",GOVERNMENT
"Main Mumbai Police officer. Aapka beta drugs case mein hai, 50k do toh chhod denge.",SCAM
"Bhaiya main Amazon, aapka parcel deliver ho gaya hai guard ko.",DELIVERY
"Main ICICI bank se. Aapka credit card payment receive ho gaya hai.",BANK
"Hello, main Vicky bol raha hoon naye number se. Save kar lo.",FAMILY
"Sir, get a personal loan at 7 percent. Special offer for today only.",TELEMARKETER
"Main hospital reception. Doctor ke aane mein late hai.",MEDICAL
"Hello, this is the Health Ministry. Did you get your vaccine dose?",GOVERNMENT
"Main bank security. Aapka account block ho jayega agar OTP nahi bataya.",SCAM
"Bhaiya main Zepto, aapka order gate pe hai.",DELIVERY
"Main HDFC bank se. Aapka loan repayment date kal hai.",BANK
"Beta, main Dadaji bol raha hoon naye number se. Awaaz aa rahi hai?",FAMILY
"Sir, would you like to upgrade your mobile plan to unlimited data?",TELEMARKETER
"Main radiology lab se. Aapka scan report ready hai.",MEDICAL
"Namaste, main Income Tax Department se. Your refund is approved.",GOVERNMENT
"Main CBI officer. Aapka bank account scam mein use hua hai, verification ke liye details do.",SCAM
"Bhaiya main Blinkit, aapka order bahar rakh diya hai.",DELIVERY
"Main Axis bank se. Aapka credit card limit increase ho gaya hai.",BANK
"Hello, main Suman bol rahi hoon naye number se. Sabko bata dena.",FAMILY
"Sir, join our club for 5 star dining discounts. Membership starts at 5000.",TELEMARKETER
"Main doctor's clinic. Aapka appointment 6 baje ka hai.",MEDICAL
"Hello, this is the GST helpdesk. Your query is being processed.",GOVERNMENT
"Main Amazon representative. Aapka order cancel karne ke liye is link pe click karein.",SCAM
"Bhaiya main Flipkart, aapka ghar nahi mil raha, location bhej do.",DELIVERY
"Main Bank of Baroda se. Aapka ATM card branch mein aa gaya hai.",BANK
"Hello, main Ritesh bol raha hoon naye number se. Aaj milte hain.",FAMILY
"Sir, looking for a job? We have direct openings in Google. Pay 500 for interview.",SCAM
"Main diagnostic center. Aapka report WhatsApp kar diya hai.",MEDICAL
"Namaste, main Municipal Corporation. Your waste collection bill is paid.",GOVERNMENT
"Main Customs officer. Aapka gold parcel ruka hai, fine pay kijiye.",SCAM
"Bhaiya main Zomato, khana deliver kar diya hai.",DELIVERY
"Main SBI bank se. Aapka KYC update pending hai.",BANK
"Beta, main Mamaji bol raha hoon naye number se. Sab thik hai?",FAMILY
"Sir, get an instant loan of 2 lakhs on your Aadhar card only.",TELEMARKETER
"Main hospital pharmacy. Aapki dawai ready hai.",MEDICAL
"Hello, this is the Indian Railways. Your berth is confirmed.",GOVERNMENT
"Main bank head office. Aapka transaction fraud hai, OTP do cancel karne ke liye.",SCAM
"Bhaiya main Shadowfax, parcel pick up ke liye aaya hoon.",DELIVERY
"Main IDBI bank se. Aapka statement mail kar diya hai.",BANK
"Hello, main Rahul bol raha hoon naye number se. Save kar lo.",FAMILY
"Sir, buy this plots in Greater Noida for high appreciation.",TELEMARKETER
"Main lab se. Aapka report collection ke liye ready hai.",MEDICAL
"Namaste, main Aadhar Kendra se. Aapka mobile update ho gaya hai.",GOVERNMENT
"Main Police station. Aapka bank account legal case mein hai, fine pay karein.",SCAM
"Bhaiya main Delhivery, parcel pick up timing bataiye.",DELIVERY
"Main Kotak bank se. Aapka credit card payment due hai.",BANK
"Hello, main Sonu bol raha hoon naye number se. Kaisa hai bhai?",FAMILY
"Sir, get the new iPhone at just 10,000 in our flash sale. Click here.",SCAM
"Main clinic receptionist. Doctor late aayenge aaj.",MEDICAL
"Hello, this is the Electricity Board. Planned maintenance today.",GOVERNMENT
"Main RBI manager. Aapka account block hone wala hai, KYC link karein.",SCAM
"Bhaiya main Amazon, aapka parcel guard ke paas hai.",DELIVERY
"Main Canara bank se. Aapka naya ATM card issue ho gaya hai.",BANK
"Hello, main Vicky bol raha hoon naye number se. Bye.",FAMILY
"Sir, do you need car insurance? We have the best prices.",TELEMARKETER
"Main hospital nurse. Patient ko discharge kar diya hai.",MEDICAL
"Namaste, main Post Office se. Your letter is delivered.",GOVERNMENT
"Main bank security. Fraud transaction detection, provide OTP to stop.",SCAM
"Bhaiya main Swiggy, shop band hai, order cancel kar do.",DELIVERY
"Main Union Bank se. Aapka gold loan interest rate updated.",BANK
"Beta, main Chachi bol rahi hoon naye number se.",FAMILY
"Sir, join our premium channel for stock market tips.",TELEMARKETER
"Main lab se. Aapki sugar report badh gayi hai.",MEDICAL
"Hello, this is the GST portal. Your registration is successful.",GOVERNMENT
"Main custom department. Parcel release ke liye payment kijiye.",SCAM
"Bhaiya main Flipkart, OTP bataiye parcel delivery ke liye.",DELIVERY
"Main Federal Bank se. Aapka KYC successful raha.",BANK
"Hello, main Ritesh bol raha hoon naye number se. Save kar lena.",FAMILY
"Sir, get 50 percent off on your next flight. Click this link.",SCAM
"Main doctor's assistant. Aapka test results normal hain.",MEDICAL
"Namaste, main Nagar Palika se. Your certificate is ready.",GOVERNMENT
"Main SBI manager. Aapka account risk mein hai, PIN bataiye.",SCAM
"Bhaiya main Amazon, gate lock hai, kya karoon?",DELIVERY
"Main ICICI bank se. Aapka account statement ready hai.",BANK
"Hello, main Priya bol rahi hoon naye number se.",FAMILY
"Sir, do you need home insurance? Protect your house today.",TELEMARKETER
"Main blood lab. Aapka sample collect ho gaya hai.",MEDICAL
"Namaste, main Income Tax. Your refund is credited.",GOVERNMENT
"Main CBI officer. Digital arrest notice, don't cut the call.",SCAM
"Bhaiya main Zepto, location share kijiye.",DELIVERY
"Main HDFC bank se. Aapka EMI payment done.",BANK
"Hello, main Aryan bol raha hoon naye number se.",FAMILY
"Sir, buy 2 shirts get 3 free. Offer ends today.",TELEMARKETER
"Main hospital. Aapka appointment confirm hai.",MEDICAL
"Hello, this is Indian Railways. Train is delayed by 1 hour.",GOVERNMENT
"Main bank executive. Fraud transaction, tell OTP to block card.",SCAM
"Bhaiya main Blinkit, address nahi mil raha.",DELIVERY
"Main Axis bank se. Aapka cheque bounce hua hai.",BANK
"Hello, main Suman naye number se bol rahi hoon.",FAMILY
"Sir, get a personal loan at low interest rate. Apply now.",TELEMARKETER
"Main diagnostic center. Report dispatch kar di hai.",MEDICAL
"Namaste, main Municipal office. Your application is approved.",GOVERNMENT
"Main custom officer Mumbai. Parcel mein illegal drugs mile hain, fine do.",SCAM
"Bhaiya main Zomato, location pe hoon.",DELIVERY
"Main SBI bank se. KYC details share kijiye.",BANK
"Hello, main Sameer bol raha hoon naye number se.",FAMILY
"Sir, get a free credit card. Click link now.",SCAM
"Main pharmacy. Dawai ghar pe bhijwa di hai.",MEDICAL
"Hello, this is the Post Office. Parcel is here.",GOVERNMENT
"Main police. Aapka bank account illegal hai, surrender karo details.",SCAM
"Bhaiya main Amazon, parcel deliver kar diya.",DELIVERY
"Main Bank of Baroda. Statement check kijiye email pe.",BANK
"Hello, main Vicky bol raha hoon naye number se.",FAMILY
"Sir, join our webinar on earning money. Free entry today.",TELEMARKETER
"Main hospital billing. Pay the balance amount.",MEDICAL
"Namaste, main RTO office. License dispatch.",GOVERNMENT
"Main bank manager. Account block, send card details.",SCAM
"Bhaiya main Swiggy, order late hai.",DELIVERY
"Main Canara bank. New debit card sent.",BANK
"Hello, main Rahul naye number se.",FAMILY
"Sir, buy insurance today. Big discount.",TELEMARKETER
"Main clinic. Appointment 5 PM.",MEDICAL
"Hello, this is Electricity Board. Bill due.",GOVERNMENT
"Main Custom officer. Parcel tax pay kijiye online.",SCAM
"Bhaiya main Flipkart, gate pe hoon.",DELIVERY
"Main Axis bank. Loan approved.",BANK
"Hello, main Priya naye number se.",FAMILY
"Sir, invest in our mutual fund.",TELEMARKETER
"Main lab. Report ready.",MEDICAL
"Namaste, main Income Tax. Refund processed.",GOVERNMENT
"Main CBI. Digital arrest, verify bank account.",SCAM
"Bhaiya main Zepto, deliver ho gaya.",DELIVERY
"Main SBI. Check your account balance.",BANK
"Hello, main Aryan naye number se.",FAMILY
"Sir, get cheap loan now.",TELEMARKETER
"Main doctor. Test reports normal.",MEDICAL
"Hello, Indian Railways. Berth changed.",GOVERNMENT
"Main bank. OTP for security verification please.",SCAM
"Bhaiya main Blinkit, on the way.",DELIVERY
"Main HDFC. Credit card payment received.",BANK
"Hello, main Suman naye number se.",FAMILY
"Sir, upgrade your mobile plan.",TELEMARKETER
"Main hospital. Discharge today.",MEDICAL
"Namaste, RTO. RC book sent.",GOVERNMENT
"Main police. Fine for illegal calling history.",SCAM
"Bhaiya main Zomato, near landmark.",DELIVERY
"Main Axis. New offer for you.",BANK
"Hello, Sameer here, new number.",FAMILY
"Sir, stock market tips channel link.",SCAM
"Main lab. Sample tomorrow morning.",MEDICAL
"Hello, Post Office. Speed post out.",GOVERNMENT
"Main RBI. Account hack, transfer money to safe link.",SCAM
"Bhaiya main Amazon, coming in 10 mins.",DELIVERY
"Main SBI. Home loan EMI deducted.",BANK
"Hello, Vicky here, new number.",FAMILY
"Sir, credit card limit increase free.",TELEMARKETER
"Main doctor. Clinic closed today.",MEDICAL
"Namaste, GST. Return filed successfully.",GOVERNMENT
"Main custom. Your illegal iPhone parcel is caught.",SCAM
"Bhaiya main Flipkart, please share OTP.",DELIVERY
"Main ICICI. New FD created.",BANK
"Hello, Rahul here, new number.",FAMILY
"Sir, join our yoga group.",TELEMARKETER
"Main hospital pharmacy. Medicine out of stock.",MEDICAL
"Namaste, Nagar Palika. Tax bill sent.",GOVERNMENT
"Main bank. Suspicious activity, tell last 4 digits and OTP.",SCAM
"Mummy main hospital se bol raha hoon, mera accident ho gaya hai. Doctor 50,000 maang raha hai operation ke liye, jaldi is number pe UPI karo.",SCAM
"Beta main bade papa bol raha hoon naye number se. Main ek mushkil mein phas gaya hoon, kisi ko batana mat aur turant 10,000 bhej do.",SCAM
"Hello, main aapke bete ka dost bol raha hoon. Iska phone chori ho gaya hai aur ise emergency fund chahiye, please is QR code pe paise bhejiye.",SCAM
"Namaste, main aapke rishtedaar Sharma ji ka ladka bol raha hoon. Uncle ne bola hai ki aap thode paise bhej denge emergency ke liye, unka phone switch off hai.",SCAM
"Bhaiya main chhota bhai bol raha hoon, police ne pakad liya hai nake pe. Inspector bol raha hai 5000 do toh chhod dega, jaldi bhej do please.",SCAM
"Aapka neta ji bol rahe hain family group se? Ek bimar bacha hai family mein, uske liye donation chahiye, ye lo link payment ka.",SCAM
"Hello, main aapke husband ka colleague bol raha hoon. Unka office mein accident hua hai, jaldi se hospital fees ke liye 20,000 transfer kariye.",SCAM
"Main aapki bhen ka dost bol raha hoon naye number se. Uska phone hack ho gaya hai, usne kaha hai ki emergency mein aapse paise maang loon.",SCAM
"Beta, main Dadaji bol raha hoon naye number se. Mera pension account lock ho gaya hai, unblock karne ke liye 2000 rupaye ka recharge kar do ispe.",SCAM
"Hello, main Canada se bol raha hoon aapka cousin. Yahan immigration mein phas gaya hoon, lawyer ki fees ke liye urgent 1 lakh rupaye chahiye.",SCAM
"Mummy main police station se bol rahi hoon, mera phone seized hai. Ek lady constable ka number hai ye, ispe jaldi 10,000 bhej do settle karne ke liye.",SCAM
"Namaste, main aapke damad ka bhai bol raha hoon. Unki car ka accident ho gaya hai raste mein, mechanic ko dene ke liye paise bhej dijiye.",SCAM
"Hello bhaiya, main aapka purana padosi. Mere ghar mein medical emergency hai, 5000 ki madad kar do, kal wapas kar dunga pakka.",SCAM
"Beta, main bua bol rahi hoon. Naya phone liya hai par payment app kaam nahi kar raha, mera 2000 ka bijli bill bhar do please.",SCAM
"Main aapki colony ke secretary bol raha hoon. Aapke bete ne kisi ki gaadi thok di hai, matter khatam karne ke liye 15,000 lagega abhi.",SCAM
